question,answer
What is quantum chemistry on quantum computers?,Simulating molecular systems using quantum hardware. Electrons naturally quantum. Quantum computers suit chemistry.
Why is molecular simulation hard classically?,Electron correlations scale exponentially. Exact simulation intractable. Classical approximations have limits.
Why is the electronic structure problem central to chemistry?,Ground state determines molecular properties. Reactivity and stability follow from electrons. Solving electronic structure enables predictions.
What molecular properties can quantum computers predict?,"Energies, reaction rates, and spectra. Drug binding and catalysis. Properties guide applications."
How does Born-Oppenheimer simplify quantum chemistry?,Separates fast electrons from slow nuclei. Reduces dimensionality. BO enables practical molecular simulation.
What is the second quantization formalism?,Describe electrons with creation and annihilation operators. Natural for quantum computing. Second quantization maps to qubits.
How does Jordan-Wigner enable molecular simulation?,Maps fermionic Hamiltonians to qubit operators. Preserves anticommutation via strings. JW is standard chemistry mapping.
When is Bravyi-Kitaev preferred over Jordan-Wigner?,BK has logarithmic weight Pauli strings. Lower gate count for some problems. BK suits certain molecules.
What advantages does parity mapping offer?,Encodes parity information directly. Different error structure. Parity mapping suits specific applications.
How many qubits for molecular simulation?,Scales with number of orbitals. Dozens to thousands for useful molecules. Qubit count limits molecules.
What is the active space approximation?,Focus on chemically relevant orbitals. Reduces qubit requirement. Active space makes problems tractable.
What is the complete active space?,Include all correlations in active orbitals. CAS captures essential physics. Active space balances cost and accuracy.
What molecules demonstrate quantum chemistry progress?,"Small molecules like H2, LiH, BeH2 simulated. Water and ammonia attempted. Molecular demonstrations validate methods."
What is the hydrogen molecule benchmark?,H2 is simplest molecular test. Ground state energy computed. Hydrogen validates methods.
What is nitrogen fixation simulation?,Simulating N2 bond breaking. Industrially important reaction. Nitrogen fixation is target application.
What is catalyst design with quantum?,Find better catalysts computationally. Transition metal complexes. Catalyst design is application.
What is drug discovery with quantum?,Simulate drug-protein binding. Improve drug candidates. Drug discovery is major application.
What is the protein folding connection?,Quantum may help energy calculations. Not direct folding solution. Protein energy is relevant.
What is materials discovery with quantum?,"Design new materials computationally. Batteries, superconductors, semiconductors. Materials are application area."
What is battery material simulation?,Understand lithium ion dynamics. Improve battery performance. Battery research uses quantum.
What accuracy is needed for chemistry?,Chemical accuracy is 1 kcal/mol. Required for useful predictions. Accuracy is stringent requirement.
Why is chemical accuracy the target for quantum chemistry?,1 kcal/mol distinguishes reaction outcomes. Required for predictive chemistry. Chemical accuracy is practical threshold.
How does VQE apply to chemistry?,Variationally minimize molecular energy. Parameterized ansatz optimized. VQE is leading chemistry approach.
What is the unitary coupled cluster ansatz?,Inspired by classical coupled cluster. Exponential of cluster operators. UCC captures correlation.
How does ADAPT-VQE improve ansatz design?,Iteratively adds operators based on gradients. Grows ansatz as needed. ADAPT finds efficient representations.
What is the qubit coupled cluster?,Hardware-efficient alternative to UCC. Direct qubit excitations. QCC simplifies implementation.
What is quantum subspace expansion?,Expand solution space post-VQE. Improve energy estimates. QSE refines results.
What is the equation of motion method?,Compute excited states from ground state. Response theory approach. EOM gives excitation energies.
How does QPE apply to molecular eigenvalues?,Extracts exact molecular energies. Requires coherent evolution. QPE gives ground and excited states.
What is the quantum Krylov method?,Build Krylov subspace quantumly. Reduce to classical eigenvalue problem. Krylov is hybrid approach.
What is contracted quantum eigensolver?,Use contracted Schrodinger equation. Reduce measurements needed. CQE improves efficiency.
